id,name,profile_path,gender
13925,Paul Dillon,/6jouXtMcbJ7nTuDNwvaePnqCHTX.jpg,2
1117347,Simon Atherton,/di5Gr8kLKeLuI1gyzqBDIc5xyod.jpg,0
1495190,Dickey Beer,,2
1420324,Chris Johnston,,0
4430,Sharon Stone,/m57fGJemBTpsjydGlaZJywlIWz4.jpg,1
7169,Alan King,/gYtn6UNocRfxISIAKmUfRxl7zOr.jpg,2
8262,L.Q. Jones,/jhPsFq7qYT2QKc4FO70fqxgfpXs.jpg,2
7531,Joseph P. Reidy,/3bZ4HUh4JFPKo1yw2XDYjMmwj6m.jpg,2
42824,Carl Ciarfalio,/1JyIKBSkpK1tADOXpYYrO1khcQH.jpg,2
7056,Emma Thompson,/cWTBHN8kLf6yapxiaQD9C6N1uMw.jpg,1
4566,Alan Rickman,/7tADZs4ILE93oJ5pAh6mKQFEq2m.jpg,2
3129,Tim Roth,/r4jtlboNqWPz2dOHafrPJE4Yd94.jpg,2
3131,Antonio Banderas,/85197jARsr06xQ84NhP9YoBL3sR.jpg,2
3130,Jennifer Beals,/uYa9mUAh3YeFlACaY0rI0Oz7pRf.jpg,1
3125,Madonna,/oWBpuX3Bxcp6pyP4KNKws0JibDD.jpg,1
62,Bruce Willis,/2B7RySy2WMVJKKEFN2XA3IFb8w0.jpg,2
138,Quentin Tarantino,/9ci4NBvHXJktxjALdJsrtasqgtV.jpg,2
3122,Sammi Davis,/1h6J7f0AZBGtn1kmfoipQVFZBaQ.jpg,1
3124,Valeria Golino,/fD4N460T7Yw8VTDG4YgoMSdMqhU.jpg,1
3127,Lili Taylor,/pIJ4Enx6kIC9srLkDfGpEzfNlDZ.jpg,1
2545,Lawrence Bender,/5EzlP8qdCYQrhqEYB2MTmY74KFB.jpg,2
3138,Kathy Griffin,/psg895Ye46vGenRdX0EXvGOm92p.jpg,1
3136,Salma Hayek,/u5mg73xKVqm8oT93HoMmsgQHyoK.jpg,1
3140,Marc Lawrence,/l9BsvMMq9db1eSbnTGia0ymp1mv.jpg,2
206,Jim Carrey,/5tVf0ow8MX4OwjmVoSa5v7qUDka.jpg,2
4001,Simon Callow,/pOABmGHa7h1CQ1oG4Q6PyuCbwqL.jpg,2
171303,Tom Grunke,,0
16866,Jennifer Lopez,/mxBDIyt8u4q5eJcQkGipNYTtlvz.jpg,1
8891,John Travolta,/ns8uZHEHzV18ifqA9secv8c2Ard.jpg,2
193,Gene Hackman,/qEKcmwc1XstymEniGuCs3KIsGfP.jpg,2
14343,Rene Russo,/aaPzuXRHdyxamPMXqu70okPaqvB.jpg,1
518,Danny DeVito,/zKuyzmKzPLG7RJo7lbbHjx6CCZc.jpg,2
4691,James Gandolfini,/19r3knxqTAPUgfItOPXg3ouOcpI.jpg,2
30488,Miguel Sandoval,/x0mn76606kpJtzzl0B2nfJlZXkE.jpg,2
10205,Sigourney Weaver,/gxBIAr3CnBjkNRoPovVJCvEGqP0.jpg,1
18686,Holly Hunter,/sfqLoSx2dmfQTafqbv8lNHnBeUW.jpg,1
20212,Dermot Mulroney,/4ZqA0SJ8KKZ1HvVdZZJlrqjxlq1.jpg,2
16483,Sylvester Stallone,/gnmwOa46C2TP35N7ARSzboTdx2u.jpg,2
543847,Germán Legarreta,/fydhgCsZadkVVx8jYBITN8WpEEl.jpg,2
2963,Nicolas Cage,/ti2h1OS1n1VwoJHWFaJD8dMZuEE.jpg,2
6109,Stuart Reynolds ,,2
2975,Laurence Fishburne,/8suOhUmPbfKqDQ17jQ1Gy0mI3P4.jpg,2
11181,Kenneth Branagh,/bmpGjbqvAVNOK3ggiuET2Jl96tZ.jpg,2
6886,Christina Ricci,/dzB58d6fNrTEi7nBAU1tySJc2at.jpg,1
12929,Rosie O'Donnell,/76ZWoNK1Fr6gmJUH1zhEBMsT9DT.jpg,0
3416,Demi Moore,/eLNoOYnxvhpV0BMSkNNnyyo5In7.jpg,1
12931,Rita Wilson,/jsIeIIzvirqMMCua4fA0ziRsRIs.jpg,1
9599,Cloris Leachman,/8ByYhjEHavhZiQYriHVXsWUfu8c.jpg,1
21197,Janeane Garofalo,/jwZs05qdp8kh6IwfECxDyRrteK8.jpg,1
18269,Brendan Fraser,/n8VOWXp94nhIEo5nS9o6bOpUHiN.jpg,2
13680,Marc Caro,/tUOvPzeZsFLjkclLks4xATX5PJC.jpg,0
566292,Jean-Philippe Labadie,,0
1160,Michelle Pfeiffer,/8kQhI2HGD1oB2wXHNqxRcElnmO3.jpg,1
188642,Bruklin Harris,/jbYhvYwDIMQK3tlZlY5eUN9bOAx.jpg,1
287,Brad Pitt,/ejYIW1enUcGJ9GS3Bs34mtONwWS.jpg,2
22227,Christopher Meloni,/qUxRtuQxWcuaUitnKoTyKgeIitu.jpg,2
11154,Matt Ross,/tl51oqEpUoa9S5JGbklg9aXd99Q.jpg,2
81692,Stephen Bridgewater,/y8HD6TcZllYESxeUQzlSiRvGeRN.jpg,2
933507,Chuck Jeffreys,/1bnlVHNeCtANWOLvl4r8IAspU6x.jpg,2
60569,John Panzarella,/hlQkBw7xaF7XoNoG1wWjyYUQ7fQ.jpg,2
1106629,Raymond Mamrak,/1Zdwf4pFzJl3uED3qPHuL02PE6i.jpg,0
4138,Craig Sheffer,/q2y5cm3RoCsztmuLqJie4cOrLBH.jpg,2
3999,Tom Hulce,/t4m5xqxovPP1GUXZ9MivPa7XloN.jpg,2
61351,Paul Livingston,,2
47627,Janet McTeer,/fVxhoT9udQl9UFXe3qa9cbUq3h4.jpg,1
4038,Susan Sarandon,/giqZPokZi2nKLtYw8hrMVf8Vita.jpg,1
2228,Sean Penn,/f2uy1zq0qmtLBpsr6N9uQ8FktOr.jpg,2
70851,Jack Black,/kAyKg3rYGgIhB5KRaIWALuf78W3.jpg,2
133,Peter Sarsgaard,/dGoUlDEJumPY0CFlT7eM6KVdLUu.jpg,2
6574,Clancy Brown,/xBVifBW0riMSbedEQ27hObjPqVw.jpg,2
108147,Jeremy Knaster,,0
1463362,Codie Scott,,0
10298,Helen Prejean,,1
26472,Steve Guttenberg,/utLqKSEN9TX3EniBlX4BpytDunB.jpg,2
67848,Ashley Olsen,/gIZBBtO7IGV1wxgFNCzuo7ZakwO.jpg,1
67849,Mary-Kate Olsen,/fxTJRxHrNyZVrWZWQZOTXJnGwDY.jpg,1
5588,Alicia Silverstone,/vEuWi98LSRp9L53CGzIhQLMRvbZ.jpg,0
22226,Paul Rudd,/ltIBF3NimzCfhGXnFCq9LGKaoBz.jpg,2
23958,Jeremy Sisto,/o2FDlQQWOxF18Bq6hDvhiQZE8i9.jpg,2
66160,Twink Caplan,/a6iDJoy42QZP1DfL3ybHQeXT5DU.jpg,1
