id,gender
31,2
12898,2
12899,2
12900,2
37221,2
2157,2
5149,1
58563,2
6837,2
3151,2
16523,2
7166,2
8851,1
9780,1
10814,2
67773,2
3092,1
519,2
209,1
26510,2
1158,2
380,2
10127,2
3197,2
15852,1
524,1
119232,2
5587,2
81687,2
12879,0
9258,2
166543,0
43010,0
1457709,0
1576419,0
237923,0
57347,0
1576553,0
1502517,2
1576562,0
3,2
13242,2
62531,1
6554,2
1632066,0
4184,2
38581,1
15111,2
517,2
10696,1
10697,2
27425,2
3392,2
8349,2
112080,1
3037,2
7633,2
14639,2
12812,1
10774,1
4724,2
382,2
110001,2
15831,2
4173,2
228,2
11076,2
4512,2
6840,2
3417,2
15183,2
3712,2
19654,2
8975,2
16935,1
8654,2
13925,2
1117347,0
1495190,2
1420324,0
4430,1
7169,2
8262,2
7531,2
42824,2
7056,1
4566,2
3129,2
3131,2
3130,1
3125,1
62,2
138,2
3122,1
3124,1
3127,1
2545,2
3138,1
3136,1
3140,2
206,2
4001,2
171303,0
16866,1
8891,2
193,2
14343,1
518,2
4691,2
30488,2
10205,1
18686,1
20212,2
16483,2
543847,2
2963,2
6109,2
2975,2
11181,2
6886,1
12929,0
3416,1
12931,1
9599,1
21197,1
18269,2
13680,0
566292,0
1160,1
188642,1
287,2
22227,2
11154,2
81692,2
933507,2
60569,2
1106629,0
4138,2
3999,2
61351,2
47627,1
4038,1
2228,2
70851,2
133,2
6574,2
108147,0
1463362,0
10298,1
26472,2
67848,1
67849,1
5588,0
22226,2
23958,2
66160,1
40680,1
17764,2
194,2
1327,2
388,2
3223,2
66,2
11486,2
5344,1
38559,2
57256,0
2227,1
2876,2
73421,2
1893,2
7796,1
224,2
1920,1
54424,1
1981,1
9626,2
7499,2
192,2
1979,2
6487,2
12055,2
10688,2
12047,2
1025337,2
17449,2
54433,0
16563,0
944,2
2461,2
20173,2
5168,2
9046,2
1121,2
101377,2
9048,2
112159,2
1243,2
4688,2
25819,2
10431,1
4764,2
56890,2
400,1
67792,0
4581,2
35,1
2628,2
3266,2
65017,1
3905,2
35690,2
9562,2
27590,2
2535,1
1897,2
35689,2
111872,0
18277,1
5724,2
64998,2
16484,1
22297,2
28640,1
35137,1
4275,2
38403,0
9778,2
65134,2
37932,2
1461,2
1037,2
11159,2
11161,2
9811,0
53763,2
59287,2
1042415,0
13021,2
52930,2
7036,2
78190,2
54474,2
76989,2
5656,2
827,2
3829,2
23508,2
2224,2
31140,1
16851,2
18274,0
91041,0
91042,0
8872,2
74036,2
87003,2
27726,2
56978,1
56979,2
938895,0
7491,2
18627,0
514,2
5657,1
32,1
98084,0
72861,2
78084,0
98092,0
89838,2
21544,0
7447,2
24045,2
8256,1
1271,2
4520,2
884,2
35597,1
13506,1
6542,2
94511,2
990400,0
69697,2
109470,2
6832,1
7505,2
115178,2
117075,2
1229,2
11864,2
1206,2
4757,2
5129,2
60950,2
31511,2
21561,2
2048,2
1030724,2
85,2
1204,1
6949,2
515,1
776,2
6951,2
16327,2
139,1
15234,2
11805,2
6198,2
4607,2
9558,2
12094,1
26860,2
9152,2
1925,2
5443,2
5425,2
2406,2
41381,1
9642,2
19995,1
92561,2
1144666,0
3036,2
36422,2
887,2
71555,2
3085,2
42006,2
14,1
